Country,NonCompound_Count,Compound_Count,Total_Count,Compound_pct
Afghanistan,167.0,49.0,216.0,0.22685185185185186
Albania,23.0,8.0,31.0,0.25806451612903225
Algeria,83.0,15.0,98.0,0.15306122448979592
American Samoa,2.0,2.0,4.0,0.5
Angola,91.0,8.0,99.0,0.08080808080808081
Anguilla,1.0,0.0,1.0,0.0
Antigua and Barbuda,1.0,2.0,3.0,0.6666666666666666
Argentina,98.0,19.0,117.0,0.1623931623931624
Armenia,8.0,4.0,12.0,0.3333333333333333
Australia,101.0,38.0,139.0,0.2733812949640288
Austria,21.0,14.0,35.0,0.4
Azerbaijan,15.0,2.0,17.0,0.11764705882352941
Bahamas,14.0,6.0,20.0,0.3
Bahrain,5.0,0.0,5.0,0.0
Bangladesh,236.0,40.0,276.0,0.14492753623188406
Barbados,6.0,3.0,9.0,0.3333333333333333
Belarus,8.0,2.0,10.0,0.2
Belgium,38.0,7.0,45.0,0.15555555555555556
Belize,13.0,1.0,14.0,0.07142857142857142
Benin,47.0,1.0,48.0,0.020833333333333332
Bermuda,1.0,1.0,2.0,0.5
Bhutan,5.0,2.0,7.0,0.2857142857142857
Bolivia (Plurinational State of),85.0,26.0,111.0,0.23423423423423423
Bosnia and Herzegovina,23.0,13.0,36.0,0.3611111111111111
Botswana,13.0,2.0,15.0,0.13333333333333333
Brazil,175.0,89.0,264.0,0.3371212121212121
British Virgin Islands,2.0,0.0,2.0,0.0
Bulgaria,39.0,13.0,52.0,0.25
Burkina Faso,57.0,6.0,63.0,0.09523809523809523
Burundi,57.0,14.0,71.0,0.19718309859154928
Cabo Verde,7.0,5.0,12.0,0.4166666666666667
Cambodia,38.0,7.0,45.0,0.15555555555555556
Cameroon,76.0,9.0,85.0,0.10588235294117647
Canada,72.0,25.0,97.0,0.25773195876288657
Canary Islands,14.0,2.0,16.0,0.125
Cayman Islands,5.0,2.0,7.0,0.2857142857142857
Central African Republic,58.0,8.0,66.0,0.12121212121212122
Chad,41.0,7.0,48.0,0.14583333333333334
Chile,60.0,23.0,83.0,0.27710843373493976
China,1122.0,229.0,1351.0,0.1695040710584752
"China, Hong Kong Special Administrative Region",20.0,3.0,23.0,0.13043478260869565
"China, Macao Special Administrative Region",1.0,2.0,3.0,0.6666666666666666
Colombia,141.0,59.0,200.0,0.295
Comoros,23.0,7.0,30.0,0.23333333333333334
Congo,39.0,5.0,44.0,0.11363636363636363
Cook Islands,4.0,0.0,4.0,0.0
Costa Rica,25.0,20.0,45.0,0.4444444444444444
Croatia,28.0,7.0,35.0,0.2
Cuba,40.0,21.0,61.0,0.3442622950819672
Curaçao,1.0,0.0,1.0,0.0
Cyprus,11.0,3.0,14.0,0.21428571428571427
Czechia,31.0,9.0,40.0,0.225
Côte d’Ivoire,37.0,10.0,47.0,0.2127659574468085
Democratic People's Republic of Korea,25.0,17.0,42.0,0.40476190476190477
