Paper_ID,Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO.1,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Included in text?,Hazard_type,Scale,Country,Study_area,Method_category,Method,Specific_methods,Data,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign.1,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,Unnamed: 88,Scale_Label
1,J,"Meng, Changqing; Liu, Keying; Li, Yue; Wang, Yongqiang; Hu, Zhihan; Dong, Zijiao; Wu, Haichun; Wang, Yuankun",,,,"Wang, Yuankun/GWC-7180-2022; Zhihan, Hu/HPH-9132-2023; Keying, Liu/IUB-5632-2023",,,,,,Identification of compound flood-heatwave extremes in the Yangtze River Basin and their socio-economic exposure,,,,,,,,JOURNAL OF HYDROLOGY,,,,649.0,,,,,,132387,,,10.1016/j.jhydrol.2024.132387,,,,,DEC 2024,,Article,MAR 2025,2025,"Compound flood-heatwave extremes are sequential events where a heatwave closely follows a flood, posing significant threats to public health, well-being, and infrastructure. This study, based on ERA5 reanalysis data and the NEX-GDDP-CMIP6 statistical downscaling dataset with 25 climate models, developed an index to quantify the magnitude of these compound events. The study compared independent extreme events with compound flood-heatwave events, examining the differences in maximum duration and average magnitude between regular heatwaves and those occurring within compound events. It also analyzed the effects of warming and humidification on the trends of compound flood-heatwave events. Furthermore, the study explored the atmospheric dynamics of these events and quantified the impact of risk changes on population and GDP under shared socioeconomic pathways. The results show that the frequency, magnitude, and probability of compound floodheatwave extremes have significantly increased. Compared to single extreme events, compound events present a much greater increase in risk. Under future scenarios, there is a particularly high risk of short-duration, highintensity heatwaves occurring after floods. The rise in Wet Bulb Globe Temperature is identified as a key factor driving the increase in compound flood-heatwave events. Return period calculations suggest a growing future risk, with population exposure in the Yangtze River basin expected to rise by 2.5 to 3.5 times, and economic exposure projected to increase by 13 to 42 times. Atmospheric dynamic analysis also indicates that cyclones are closely linked to compound flood-heatwave extremes.",1 (Observational data (extended) for historical ananlysis) ERA5,flood-heatwave,Regional,China,Yangtze River Basin,Data-driven methods,Event coincidence analysis,Event coincidence analysis,ERA5 reanalysis data and the NEX-GDDP-CMIP6 statistical downscaling dataset with 25 climate models,,,,,,,,,5,0,0,0,0,0,7,36,84,0022-1694,1879-2707,,,,,,,,,,,,,,2024-12-16,WOS:001373727100001,,,Regional-scale
3,J,"Xoplaki, Elena; Ellsaesser, Florian; Grieger, Jens; Nissen, Katrin M.; Pinto, Joaquim G.; Augenstein, Markus; Chen, Ting-Chen; Feldmann, Hendrik; Friederichs, Petra; Gliksman, Daniel; Goulier, Laura; Haustein, Karsten; Heinke, Jens; Jach, Lisa; Knutzen, Florian; Kollet, Stefan; Luterbacher, Juerg; Luther, Niklas; Mohr, Susanna; Mudersbach, Christoph; Mueller, Christoph; Rousi, Efi; Simon, Felix; Suarez-Gutierrez, Laura; Szemkus, Svenja; Vallejo-Bernal, Sara M.; Vlachopoulos, Odysseas; Wolf, Frederik",,,,"; Vallejo-Bernal, Sara/KYQ-3015-2024; Xoplaki, Elena/AAF-1901-2020; Vlachopoulos, Odysseas/AAD-3472-2021; Grieger, Jens/A-1107-2014; Mudersbach, Christoph/AAK-9000-2020; Müller, Christoph/E-4812-2016; Pinto, Joaquim G/A-7352-2009; Suarez-Gutierrez, Laura/L-9287-2017; Feldmann, Hendrik/A-8427-2019; Friederichs, Petra/F-3344-2011; Mohr, Susanna/O-1670-2015; Pinto, Joaquim/A-7352-2009; Feldmann, Henik/A-8427-2019","Nissen, Katrin/0000-0003-1132-9701; Grieger, Jens/0000-0003-0985-8479; Pinto, Joaquim G/0000-0002-8865-1769; Ellsäßer, Florian J/0000-0001-8746-4315; Friederichs, Petra/0000-0003-4566-572X; Mohr, Susanna/0000-0002-3556-7299; Szemkus, Svenja/0009-0007-2328-4420; Feldmann, Henik/0000-0001-6987-7351",,,,,Compound events in Germany in 2018: drivers and case studies,,,,,,,,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,,,,25.0,2,,,541,564,,,,10.5194/nhess-25-541-2025,,,,,,,Article,FEB 7 2025,2025,"Europe frequently experiences a wide range of extreme events and natural hazards, including heatwaves, extreme precipitation, droughts, cold spells, windstorms, and storm surges. Many of these events do not occur as single extreme events but rather show a multivariate character, known as compound events. We investigate the interactions between extreme weather events, their characteristics, and changes in their intensity and frequency, as well as uncertainties in the past, present, and future. We also explore their impacts on various socio-economic sectors in Germany and central Europe. This contribution highlights several case studies with special focus on 2018, a year marked by an exceptional sequence of compound events across large parts of Europe, resulting in severe impacts on human lives, ecosystems, and infrastructure. We provide new insights into the drivers of spatially and temporally compound events, such as heat and drought, and heavy precipitation combined with extreme winds, and their adverse effects on ecosystems and society, using large-scale atmospheric patterns. We also examine the interannual influence of droughts on surface water and the impact of water scarcity and heatwaves on agriculture and forests. We assess projected changes in compound events at different current and future global surface temperature levels, demonstrating the need for improved quantification of future extreme events to support adaptation planning. Finally, we address research gaps and future directions, stressing the importance of defining composite events primarily in terms of their impacts prior to their statistical characterisation.",1 (GCM+RCM+copula),extreme temperature-extreme precipitation | extreme precipitation-strong wind,Regional,Germany,Germany,Data-driven methods,Multivariate dependence modeling,copula,"Drought conditions are described with the SPEI index (Vicente-Serrano et al., 2010) for observations, using ERA5 data (Hersbach et al., 2020) for the period 1979–2019, and for bilinearly interpolated (regular 0.5° long–lat grid) and extended to 2021 ensemble simulations of CMIP5 (Taylor et al., 2012; Aalbers et al., 2023) global circulation models and the EURO-CORDEX 0.11° (Giorgi et al., 2009) regional multi-model ensemble for the historical (1950–2005) and the near- to mid-term future (2006–2070) periods under RCP8.5.",,,,,,,,,5,0,0,0,1,0,6,18,31,1561-8633,1684-9981,,,,,,,,,,,,,,2025-02-13,WOS:001415014100001,,,Regional-scale
4,J,"Fang, Pei; Wang, Taihua; Yang, Dawen; Tang, Lihua; Yang, Yuting",,,,"Wang, Taihua/Q-4601-2018; yang, yuting/KMY-3684-2024",,,,,,Substantial increases in compound climate extremes and associated socio-economic exposure across China under future climate change,,,,,,,,NPJ CLIMATE AND ATMOSPHERIC SCIENCE,,,,8.0,1,,,,,17,,,10.1038/s41612-025-00910-7,,,,,,,Article,JAN 14 2025,2025,"Under climate change, China faces intensifying compound extreme events with serious socio-economic ramifications, yet their future variations remain poorly understood. Here, we estimate historical hotspots and future changes of two typical compound events, i.e., sequential heatwave and precipitation (SHP) and concurrent drought and heatwave (CDH) across China, leveraging a bivariate bias correction method to adjust projections from global climate models. Results show substantial future increases in frequency, duration, and magnitude for both events, with the durations projected to double nationwide. The increases are more evident under higher emission scenarios, and could be largely underestimated if neglecting variable dependence during bias correction process. The projected changes will escalate socio-economic exposure across China's major urban clusters, among which Guangdong-Hong Kong-Macao will face the highest risk. Our findings underscore the necessity of carbon emission controls, and call for adaptive measures to mitigate the threats induced by rising compound hazards in a changing climate.",1 (bias corrected GCM by adding the differencen between NCEP reanalysis and the ),heatwave-extreme precipitation | drought-heatwave,Regional,China,China,Data-driven methods,Multivariate dependence modeling,ISIMIP3b (bias adjustment and statistical downscaling of CMIP6 output) | copula,The ISIMIP3b bias adjustment and statistical downscaling of CMIP6 output using ISIMIP3BASD v2.5.0 and W5E5 v2.0 is described in the ISIMIP3b bias adjustment fact sheet.,,,,,,,,,8,0,0,0,2,0,9,62,102,2397-3722,,,,,,,,,,,,,,,2025-01-19,WOS:001396207800003,,,Regional-scale
6,J,"Aguilera-Vidal, Maria; Sanuy, Marc; Ortego, Maria I.; Jimenez, Jose A.",,,,"Ortego, M.I./D-3908-2011; Roque-Jimenez, José Alejandro/KMX-7565-2024",,,,,,Rainfall and wave storms interdependence in the western Spanish Mediterranean coast,,,,,,,,JOURNAL OF HYDROLOGY-REGIONAL STUDIES,,,,62.0,,,,,,102873,,,10.1016/j.ejrh.2025.102873,,,,,OCT 2025,,Article,DEC 2025,2025,"Study region: Spanish peninsular Mediterranean coast. Study focus: We characterise the dominant main terrestrial and marine drivers of compound flood events in the study region. Due to the prevalence of ephemeral rivers, rainfall represents the terrestrial driver, while waves, more influential than storm surges, represent the marine component. We analyse the frequency, intensity, and interdependence of compound events to identify spatial patterns across the study area. Conditional exceedance analysis estimates probabilities and determines likely driver combinations during multivariate events. New hydrological insights for the region: Significant regional variability exists in compound flood event drivers. Key hotspots in northern Catalonia and central Valencia are driven by overlapping rainfall and wave patterns. Compound extreme events are around 8-10 % more intense than single-driver events. Seasonal patterns revealed that compound extreme events are rare in summer but more frequent in autumn, winter, and spring, with the strongest wave-rainfall correlation occurring at zero lag time. Areas with stronger statistical dependencies between drivers experienced a higher frequency of compound extreme events. We identified the most likely combinations of event types associated with various joint return periods. The analysis reveals notable regional variations, with some areas predominantly affected by a single extreme driver, typically wave storms, and others equally influenced by both wave and rainfall storms. These findings emphasize the need to incorporate multivariate dependencies and spatial heterogeneity into regional flood risk assessments.",,compound flood,Regional,Spanish,Spanish Mediterranean coast,Data-driven methods,Multivariate dependence modeling,copula,rainfall and wave data from January 1980 to December 2022,,,,,,,,,0,0,0,0,0,0,0,1,1,,2214-5818,,,,,,,,,,,,,,2025-11-09,WOS:001608094300001,,,Regional-scale
7,J,"Li, Siyi; Wang, Bin; Liu, De Li; Chen, Chao; Feng, Puyu; Huete, Alfredo; Xiang, Keyu; Yu, Qiang",,,,"Yu, Qiangyi/AFR-0194-2022",,,,,,The contribution of climate drivers to compound drought and extreme temperature events increased in recent decades,,,,,,,,WEATHER AND CLIMATE EXTREMES,,,,49.0,,,,,,100793,,,10.1016/j.wace.2025.100793,,,,,JUL 2025,,Article,SEP 2025,2025,"Compound climate extremes severely impact crops more than individual events. Understanding historical changes in compound extreme events and their drivers is crucial for managing climate risks and protecting crop survival. Using a hybrid biophysical-statistical modeling approach, we investigated the connections between large-scale climate drivers of El Nino Southern Oscillation (ENSO)/Indian Ocean Dipole (IOD) and compound drought and extreme temperature (DET) across Australia's wheat belt from 1900 to 2020. DET in eastern Australia's wheat belt was more responsive to ENSO/IOD compared to the west. El Nino and positive IOD phases intensified DET and increased the probability of high-intensity DET, whereas La Nina and negative IOD reduced them. Probabilities of high-intensity DET have exhibited a temporal increase, during the strong El Nino phase and the positive IOD phase. Our findings highlight the need to assess the spatial-temporal response of compound events to climate drivers for effective early warning and mitigation.","1 ( To manage the computational burden, we upscaled these cells from a resolution of 0.05°–0.5° (Feng et al., 2022). This upscaling was adopted following evidence that such an upscaling does not significantly alter the magnitude or spatial distribution of extreme weather events)
According to the copula joint distribution of ENSO/IOD and DETI, we calculated the conditional probability of high-intensity DET events (y) under various phases of climate drivers (x)",drought-extreme temperature,Regional,Australia,Australia,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,2,0,0,0,0,0,2,17,17,2212-0947,,,,,,,,,,,,,,,2025-07-30,WOS:001534665300001,,,Regional-scale
10,J,"Xiao, Ruyuan; Liu, Run; Xie, Xiangqin; Xu, Yifan; Bi, Yongze; Zhang, Weiting",,,,,,,,,,Characteristics and evolution of heat wave and extreme precipitation compound events in South China based on copula function,,,,,,,,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,,,,,,,,,,,,,10.1002/qj.5055,,,,,JUL 2025,,Article; Early Access,,2025,"Compared to single events, compound extreme weather and climate events have the potential to exert more serious impacts on natural systems and human society, particularly in densely populated regions. Focusing on South China, this study identified heat wave-extreme precipitation compound events based on summer daily maximum temperature and precipitation data of 79 meteorological stations spanning 1970 to 2019. A two-dimensional joint cumulative probability distribution function of heat wave intensity and extreme precipitation intensity was constructed using the copula function, and the return periods of different types of compound events were analyzed to evaluate their occurrence characteristics. The results indicate that the average heatwave intensity and extreme precipitation intensity increased at rates of 0.1 degrees C per decade and 4.1 mm per decade, respectively. A two-dimensional joint analysis of heatwave and extreme precipitation intensities was performed, with the Gaussian copula function identified as the most appropriate model. In recent years compound events have exhibited higher frequencies, stronger intensities, wider spatial distributions, and significantly shorter return periods compared to earlier periods. Moreover, under similar conditions of heatwave and extreme precipitation, the Pearl River Delta and northern mountainous regions are more prone to the occurrence of compound events.",,heat wave-extreme precipitation,Regional,China,South China,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,1,0,0,0,0,0,1,12,12,0035-9009,1477-870X,,,,,,,,,,,,,,2025-07-18,WOS:001528636700001,,,Regional-scale
11,J,"Seidenfaden, I. K.; Skjerbaek, M. R.; Henriksen, H. J.; Kjeldsen, K. K.; Sonnenborg, T. O.",,,,"Kjeldsen, Kristian/A-9592-2013; Seidenfaden, Ida/H-3750-2018; Sonnenborg, Torben/P-1959-2017",,,,,,"Compound Flooding From Storm Surges, Precipitation, Rivers, and Groundwater-Hydrodynamic Modeling in a Coastal Catchment",,,,,,,,WATER RESOURCES RESEARCH,,,,61.0,8,,,,,e2024WR037563,,,10.1029/2024WR037563,,,,,,,Article,AUG 21 2025,2025,"Several climatic and state variables may drive the occurrence of coastal zone flooding, including, for example, storm surges, sea level rise, heavy rainfall, and high river and groundwater levels. The co-occurrence of such events, that is, compound or cascading events, has been shown to escalate flooding impacts. The contribution from groundwater is, however, routinely overlooked. Here, we apply an integrated hydrological/hydrodynamic/groundwater model to investigate underlying causes and compound effects in a Danish Wadden sea catchment. Two models were developed: a long-term model and a short-term overbank-spilling model. The long-term model was calibrated and used to simulate a 30-year historical period. Extreme value analyses were carried out for observed time series of sea levels and precipitation, together with simulated river water stages and groundwater levels. The co-occurrence of extremes was used to identify compound effects on high river-stage incidents (as flood proxy). The overbank-spilling model was then used for simulating flooding for a subset of the largest river stage events identified from the long-term model. The analysis showed that the river-stage events were closely correlated to the sea level extremes, but that the largest river-stage events were almost exclusively additionally compounded by precipitation, groundwater, or both. High groundwater tables seem to correlate with the flooding events with the largest spatial extent, and prolonged extreme events where either precipitation or sea level was elevated during long periods. Thus, this study shows that there is a general need to acknowledge the potential effect of groundwater levels on the resulting flooding on terrain in coastal zones.",1 (physics-based regional),compound flood,Regional,Denmark,catchment of Ribe River,Physics-based methods,Hydrodynamic model,hydrological/hydrodynamic/groundwater model,,,,,,,,,,0,0,0,0,0,0,0,3,3,0043-1397,1944-7973,,,,,,,,,,,,,,2025-08-31,WOS:001556753300002,,,Regional-scale
12,J,"Du, Haoxuan; Fei, Kai; Gao, Liang",,,,"Du, Haoxuan/OOK-2689-2025; GAO, Liang/OEO-4694-2025",,,,,,Assessing compound flood hazards in the Pearl river Delta: A Scenario-Based Integration of trivariate fluvial conditions and extreme storm events,,,,,,,,JOURNAL OF HYDROLOGY,,,,657.0,,,,,,133104,,,10.1016/j.jhydrol.2025.133104,,,,,MAR 2025,,Article,AUG 2025,2025,"In coastal delta regions, typhoons not only generate storm surges but also threaten local communities by causing extreme fluvial flooding due to intense rainfall. Traditionally, upstream river discharges are neglected and not linked to these compound events, leading to an underestimation of flood extent and impacts. Quantifying the joint occurrences of extreme fluvial and coastal conditions is essential for accurately predicting future compound flood hazards. This study proposes an integrated statistical-numerical modeling approach to assess compound fluvial-coastal flood hazards. The approach combines a trivariate statistical analysis to characterize extreme fluvial conditions with a numerical model to simulate coastal storm surges and their compound effects. The methodology is applied to the Pearl River Delta in southern China, a region highly vulnerable to compound flooding. Trivariate joint statistical relationships are developed using historical river discharge records during typhoon events from 1957 to 2022 to characterize extreme fluvial conditions. While the correlation among the three connected rivers is weak under low flow conditions, a high dependence exists during extreme events, increasing the likelihood of concurrent flooding. The trivariate fluvial conditions are then integrated with univariate coastal storm surge conditions to project the compound flood hazard scenario. The results show that highrisk scenarios (100-year river discharge combined with 100-year storm tide) could inundate over 24% of the Pearl River Delta's land area. Neglecting river discharges underestimates the floodplain extent by up to 32%. Transition zones influenced by both river flow and storm surges are identified along midstream river networks and upstream floodplains. These regions experience significant expansion with rising hazard levels, suggesting larger compound flood areas under future extreme conditions. This scenario-based approach provides valuable insights into characterizing and mapping compound flooding risks in vulnerable coastal regions.",1 (hybrid regional),compound flood,Regional,China,Pearl river Delta,Hybrid methods,Multivariate dependence modeling | Hydrologic model | Hydrodynamic model,copula | a coupled hydrological-hydrodynamical framework,,,,,,,,,,3,0,0,0,2,0,3,18,26,0022-1694,1879-2707,,,,,,,,,,,,,,2025-03-29,WOS:001450591000001,,,Regional-scale
16,J,"Zhao, Chaoran; Feng, Yao; Wang, Tingting; Liu, Wenbin; Wang, Hong; Wang, Ning; Liu, Yanhua; Sun, Fubao",,,,"Liu, Wenbin/AAB-2665-2021; Sun, Fubao/Q-2421-2019; wang, tingting/IYJ-7765-2023",,,,,,Revisiting spatio-temporal variation in compound dry-hot extreme events in China with newly developed nonstationary index,,,,,,,,ATMOSPHERIC RESEARCH,,,,321.0,,,,,,108111,,,10.1016/j.atmosres.2025.108111,,,,,APR 2025,,Article,AUG 1 2025,2025,"Compound dry-hot extreme events (CDHEs), as the most typical compound extreme events, bring more harm to human society than single extreme events. Traditional indicators based on stationary assumptions of hydrometeorological variables for CDHEs detection may no longer be valid due to anthropogenic and climate change impacts. The nonstationary hydrometeorological series has been extensively studied but rarely considered in identifying CDHEs. Therefore, this paper develops a nonstationary compound dry-hot index (NCDHI) with climate index and anthropogenic factors as covariates, to revisit CDHEs in China from 1961 to 2020 using the Generalized Additive Models for Location, Scale, and Shape (GAMLSS) model. The results show that the nonstationary model is better than the traditional stationary model in fitting precipitation and temperature series. Validation using typical disaster events and losses data reveals a higher correlation between the NCDHI and actual disaster losses, confirming the good applicability of the NCDHI in China. Areas affected by CDHEs of varying severity have increased in China during the study period. Meanwhile, the severity of CDHEs has also been exacerbated, with more severe in the central and eastern regions. Furthermore, CDHEs in the western regions, though less intense, occur more frequently. The proposed NCDHI can capture the characteristics of CDHEs in China, which provides a new idea for constructing a compound dry-hot index that can effectively adapt to environmental changes. The index can further improve the scientific understanding of compound extreme events' temporal and spatial patterns and provide a scientific basis for regional risk management and disaster prevention and mitigation.","1 (Nonstationary model with time, climate indices and anthropogenic factors as covariates) By referring to the process of establishing the joint probability of a binary random variable (SPI and STI) using the Copula function under the assumption of stationary (Hao et al., 2019; Wu et al., 2019a, Wu et al., 2019b), we derive a nonstationary compound dry-hot index (NCDHI).",dry-hot,Regional,China,China,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,0,0,0,0,0,0,0,17,28,0169-8095,1873-2895,,,,,,,,,,,,,,2025-04-17,WOS:001463251100001,,,Regional-scale
17,J,"Li, Jiangxia; Hu, Jiajun; Yao, Yu; Ren, Ningdan",,,,"YAO, YU/KDO-9372-2024",,,,,,Copula-based joint assessment of the extreme precipitation and storm surge along the coast of mainland China: impact of tropical cyclones,,,,,,,,JOURNAL OF HYDROLOGY,,,,662.0,,,,,,134124,,,10.1016/j.jhydrol.2025.134124,,,,,,,Article,DEC 2025,2025,"To evaluate the risks of the compound coastal flooding arising from extreme precipitation and storm surge, it is crucial to understand the spatial distribution of these disaster-causing factors and the dependence between them. The joint assessment of the extreme precipitation and surge in the China's coastal regions was conducted using the corrected MSWEP (Multi-Source Weighted-Ensemble Precipitation) global precipitation data and the surge data numerically simulated by the FVCOM (Finite Volume Community Ocean Model) circulation model from 1979 to 2020. The joint samples were selected via three ways to discuss the impact of tropical cyclones (TC) on the compound events of extreme precipitation and surge. Over 44 % of the compound events along the south China coast were caused by TCs. It was found that TCs could increase the overall dependence between extreme precipitation and surge. A joint probability model based on the copula theory was established to evaluate the compound flooding risks. Bounded by the Yangtze River Estuary, the north coast of mainland China tended to have higher frequency but lower magnitude of compound events, and the southern coastal area had a higher risk of compound flooding than the north due to the impact of TCs. The findings of this study enhanced the understanding of compound precipitation and storm surge disasters along the overall mainland China coast, and can provide guidance for coastal engineering and coastal flooding disaster prevention.",,compound flood,Regional,China,coast of mainland China,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,0,0,0,0,0,0,0,2,2,0022-1694,1879-2707,,,,,,,,,,,,,,2025-10-23,WOS:001595290900003,,,Regional-scale
